subtract,S.AH0.B.T.R.AE1.K.T
sweater,S.W.EH1.T.ER0
slug,S.L.AH1.G
sitter,S.IH1.T.ER0
shyam,SH.AY0.Y.AA1.M
fragrance,F.R.EY1.G.R.AH0.N.S
strike,S.T.R.AY1.K
scope,S.K.OW1.P
squid,S.K.W.IH1.D
snook,S.N.UH1.K
sassafrass,S.AE1.S.AH0.F.R.AE0.S
son,S.AH1.N
sharing,SH.EH1.R.IH0.NG
sociopath,S.OW1.S.IY0.OW0.P.AE2.TH
saber,S.EY1.B.ER0
subsistence,S.AH0.B.S.IH1.S.T.AH0.N.S
stone,S.T.OW1.N
sore,S.AO1.R
sue,S.UW1
sanctimony,S.AE1.NG.K.T.IH0.M.OW2.N.IY0
savior,S.EY1.V.Y.ER0
smile,S.M.AY1.L
sorry,S.AA1.R.IY0
socket,S.AA1.K.AH0.T
shoot,SH.UW1.T
simper,S.IH1.M.P.ER0
salad,S.AE1.L.AH0.D
sluice,S.L.UW1.S
saran_wrap,S.ER0.AE1.N.R.AE1.P
snow,S.N.OW1
sentry,S.EH1.N.T.R.IY0
somber,S.AA1.M.B.ER0
soul,S.OW1.L
straddle,S.T.R.AE1.D.AH0.L
soup,S.UW1.P
sour,S.AW1.ER0
solitaire,S.AA2.L.AH0.T.EH1.R
slovenly,S.L.AH1.V.AH0.N.L.IY0
swarms,S.W.AO1.R.M.Z
smurf,S.M.ER1.F
seagull,S.IY1.G.AH2.L
supercilious,S.UW2.P.ER0.S.IH1.L.IY0.AH0.S
salvage,S.AE1.L.V.IH0.JH
scatter,S.K.AE1.T.ER0
slape,S.L.EY1.P
shook,SH.UH1.K
streak,S.T.R.IY1.K
spy,S.P.AY1
shark,SH.AA1.R.K
sandbag,S.AE1.N.D.B.AE2.G
slib,S.L.IH0.B
slip,S.L.IH1.P
stream,S.T.R.IY1.M
scan,S.K.AE1.N
slim,S.L.IH1.M
share,SH.EH1.R
sunscreen,S.AH1.N.S.K.R.IY0.N
sample,S.AE1.M.P.AH0.L
stroke,S.T.R.OW1.K
carrot,K.EH1.R.AH0.T
salty,S.AO1.L.T.IY0
something,S.AH1.M.TH.IH0.NG
sandbar,S.AE1.N.D.B.AA2.R
sense,S.EH1.N.S
sought,S.AO1.T
serendipity,S.EH2.R.AH0.N.D.IH1.P.IH0.T.IY0
