id	cluster	index_z_score	intrusions	mean_frequency	mean_syllables	mr_freq	mr_ortho	mr_phon	mr_sem	ortho_alg_con	ortho_average_cluster_coeff	ortho_average_degree	ortho_cluster	ortho_coherence	ortho_diameter	ortho_max_betweenness	ortho_radius	ortho_switch	ortho_transitivity	phon_alg_con	phon_cluster	phon_coherence	phon_diameter	phon_radius	phon_switch	phono_average_cluster_coeff	phono_average_degree	phono_max_betweenness	phono_transitivity	raw	repetitions	sem_alg_con	sem_average_cluster_coeff	sem_average_degree	sem_cluster	sem_coherence	sem_diameter	sem_max_betweenness	sem_radius	sem_switch	sem_transitivity	sum_frequency	sum_recip_freq	sum_syllables	switch	task
37	0.0	6.28764440853	0	12.4842205801	1.8	13.66272627	0.580882352941	0.616666666667	0.18238653282	3.57266723376	0.266666666667	2.28571428571	0.25	0.615447515138	0.875	0.25641025641	0.75	11.0	0.5	3.30760428353	0.25	0.609194910907	0.866666666667	0.8	11.0	0.273333333333	2.26666666667	0.428571428571	0.324324324324	15	0	0.0	0.5	2.16666666667	0.25	0.576423128129	1.0	0.163636363636	1.0	11.0	0.45	187.263308702	1.46945557224	27	14.0	f
38	0.444444444444	-5.24253531828	0	14.1769072487	1.61538461538	6.56933266281	0.583333333333	0.5	0.121085867189	3.64300552637	0.390909090909	3.27272727273	0.625	0.717907796079	0.833333333333	0.311111111111	0.692307692308	7.0	0.551020408163	3.6565652243	0.5	0.645781119465	0.833333333333	0.777777777778	9.0	0.192307692308	2.15384615385	0.378787878788	0.321428571429	13	0	0.302489778151	0.0	1.8	0.3	0.621670494046	0.994049418631	0.638888888889	0.965263618184	9.0	0.0	184.299794233	0.935701520017	21	8.0	f
39	0.166666666667	-4.45445220874	0	14.792203979	1.42857142857	4.54916045381	0.52380952381	0.466666666667	0.243404024589	1.99243789418	0.0	1.33333333333	0.0	0.543222310146	0.857142857143	0.3	0.636363636364	6.0	0.0	1.83651420835	0.0	0.677088948787	0.8	0.636363636364	6.0	0.5	1.66666666667	0.1	0.75	7	0	0.286267456735	0.7	2.8	1.33333333333	0.755513301301	0.970175813956	0.5	0.946586702557	2.0	0.8	103.545427853	0.478679136798	10	5.0	f
3	1.0	-2.36404020742	0	13.3451262151	1.75	14.469824905	0.634920634921	0.703296703297	0.112689648042	3.40371348431	0.069696969697	2.18181818182	0.5	0.882010025676	0.857142857143	0.566666666667	0.714285714286	7.0	0.136363636364	2.93738008615	1.4	0.757630807077	0.846153846154	0.75	4.0	0.477777777778	2.83333333333	0.0909090909091	0.613636363636	12	0	0.0	0.0	1.0	0.0	0.575853477272	1.0	0.0	1.0	11.0	0.0	160.141514581	1.13400881785	21	5.0	f
40	0.166666666667	-3.04522082744	0	14.7292841671	1.57142857143	2.76709161186	0.417582417582	0.5	0.138998187404	1.81910858687	0.0	1.0	0.0	0.84869030539	0.846153846154	0.0	0.6	6.0	0.0	1.75362686066	0.0	0.692676438109	0.833333333333	0.75	6.0	0.0	1.5	0.666666666667	0.0	7	0	0.305899821456	0.583333333333	2.0	0.4	0.908356975135	0.964955975356	0.666666666667	0.959021007165	4.0	0.6	103.104989169	0.477114203338	11	5.0	f
41	0.142857142857	-1.40253326141	0	14.3458319283	1.375	5.59699600801	0.593939393939	0.512820512821	0.070282186764	2.11505005366	0.0	1.0	0.142857142857	0.790455293472	0.866666666667	0.0	0.777777777778	6.0	0.0	1.9514580424	0.6	0.801732925586	0.846153846154	0.714285714286	4.0	0.428571428571	2.0	0.233333333333	0.545454545455	8	0	0.0810692178215	0.0	0.0	0.0	0.524553559106	0.995505273515	0.0	0.982009029385	7.0	0.0	114.766655426	0.572627917119	11	6.0	f
42	0.384615384615	4.4649382532	0	13.8216878533	1.38888888889	16.0356364509	0.666666666667	0.657142857143	0.170793441364	4.51337436147	0.354166666667	2.875	0.333333333333	0.655943942821	0.866666666667	0.228571428571	0.777777777778	14.0	0.42	4.53780420289	0.75	0.675182433329	0.857142857143	0.75	11.0	0.45056022409	3.64705882353	0.275	0.473684210526	18	0	0.0	0.394444444444	2.83333333333	0.125	0.56598973325	1.0	0.327272727273	1.0	15.0	0.382978723404	248.79038136	1.45669509168	25	12.0	f
43	1.2	-1.99144891533	0	13.8059107479	1.72727272727	5.81643288665	0.633333333333	0.722222222222	0.200869982393	2.89865140917	0.542424242424	2.36363636364	1.2	0.870584226341	0.833333333333	0.133333333333	0.75	4.0	0.5	2.61011023079	0.714285714286	0.714064914992	0.833333333333	0.777777777778	6.0	0.444444444444	2.0	0.321428571429	0.5	11	0	0.273085987837	0.259259259259	1.77777777778	0.222222222222	0.568666603975	0.991725976314	0.214285714286	0.963100360099	8.0	0.375	151.865018227	0.811133064401	19	4.0	f
44	0	None	0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0	0	0.0	0.0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0	0.0	0.0	0.0	0.0	0	f
45	0.375	-3.7842248102	0	15.0973062654	1.36363636364	4.30443535037	0.583333333333	0.657142857143	0.142272157866	3.07547185949	0.277777777778	2.22222222222	0.375	0.699674147462	0.833333333333	0.178571428571	0.777777777778	7.0	0.571428571429	3.08359858549	0.375	0.727012018667	0.8	0.714285714286	7.0	0.566666666667	2.0	0.0555555555556	0.692307692308	11	0	0.344629818068	0.5	2.2	0.375	0.676178600415	0.984197221558	0.222222222222	0.962707343323	7.0	0.5625	166.070368919	0.732660840552	15	7.0	f
46	0.166666666667	3.79629358698	0	15.6257630098	1.35714285714	9.49388739648	0.633333333333	0.583333333333	0.217577029225	4.3551579153	0.489115646259	4.14285714286	0.555555555556	0.677953315975	0.833333333333	0.324145299145	0.666666666667	8.0	0.428571428571	3.89911835667	0.4	0.660377358491	0.833333333333	0.678571428571	9.0	0.707738095238	4.83333333333	0.249696969697	0.571428571429	14	0	0.0	0.125	2.25	0.166666666667	0.541556071901	1.0	0.5	1.0	11.0	0.214285714286	218.760682137	0.915476588279	19	11.0	f
