id	cluster	index_z_score	intrusions	mean_frequency	mean_syllables	mr_freq	mr_ortho	mr_phon	mr_sem	ortho_alg_con	ortho_average_cluster_coeff	ortho_average_degree	ortho_cluster	ortho_coherence	ortho_diameter	ortho_max_betweenness	ortho_radius	ortho_switch	ortho_transitivity	phon_alg_con	phon_cluster	phon_coherence	phon_diameter	phon_radius	phon_switch	phono_average_cluster_coeff	phono_average_degree	phono_max_betweenness	phono_transitivity	raw	repetitions	sem_alg_con	sem_average_cluster_coeff	sem_average_degree	sem_cluster	sem_coherence	sem_diameter	sem_max_betweenness	sem_radius	sem_switch	sem_transitivity	sum_frequency	sum_recip_freq	sum_syllables	switch	task
15	0.0	-1.6465604149	0	14.743150949	1.5	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	2	0	0.471250254413	0.0	1.0	1.0	1.0	0.764374872793	0.0	0.764374872793	0.0	0.0	29.4863018979	0.13640402527	3	1.0	boats
15	0.0	-2.49254947691	0	13.2420914913	1.8	4.88054279595	0.428571428571	0.363636363636	0.270737076615	0.615776274032	0.0	2.8	0.0	0.824613235926	1.0	0.0	0.692307692308	4.0	0.0	0.0	0.0	0.0	1.0	1.0	4.0	0.0	2.8	0.0	0.0	5	0	0.690899008146	0.7	2.8	4.0	0.701570395108	0.873308509677	0.5	0.834214376332	0.0	0.8	66.2104574563	0.383179775254	9	4.0	boats
16	0.333333333333	-2.0947786485	0	10.6788865265	2.25	7.78927507429	0.714285714286	0.666666666667	0.283932611935	1.03575927913	0.5	1.66666666667	0.333333333333	0.607912178956	1.0	0.1	0.857142857143	5.0	0.75	0.767928927226	0.333333333333	0.570441873014	1.0	0.833333333333	5.0	1.0	2.0	0.0	1.0	8	0	0.0	0.0	1.0	0.6	0.9407514519	1.0	0.0	1.0	4.0	0.0	85.431092212	0.817643262234	18	5.0	boats
16	0.444444444444	inf	0	10.3074612815	2.72727272727	7.15478572022	0.488235294118	0.666666666667	0.192752604855	2.39475213903	0.712121212121	2.36363636364	1.0	0.755612918394	0.9	0.244444444444	0.75	5.0	0.571428571429	1.45262234204	0.222222222222	0.600216001387	1.0	0.857142857143	8.0	0.5	2.0	0.0	1.0	11	0	0.0	0.361111111111	2.0	0.0	0.401957505209	1.0	0.8	1.0	10.0	0.333333333333	113.382074097	1.14604044942	30	8.0	boats
17	0.0	0.188774484844	0	10.4621568738	1.8	9.80591421599	0.666666666667	0.5	0.2762538075	0.750338333392	1.0	2.0	0.25	0.6099627245	1.0	0.0	0.692307692308	3.0	1.0	0.214657300562	0.25	0.298267637459	1.0	1.0	3.0	1.0	2.0	0.0	1.0	5	0	0.0	1.0	2.0	0.666666666667	0.784190799147	1.0	0.0	1.0	2.0	1.0	52.310784369	0.562530468615	9	4.0	boats
17	0.0	0.648814410462	0	11.5583747685	2.57142857143	7.89094042365	0.7	0.588235294118	0.235625127207	0.709881874242	0.0	1.0	0.0	0.471536465265	1.0	0.0	0.857142857143	6.0	0.0	0.422781419057	0.166666666667	0.418158069341	1.0	0.888888888889	5.0	0.0	1.2	0.166666666667	0.0	7	0	0.0	0.0	1.5	0.0	0.19857119021	1.0	0.666666666667	1.0	6.0	0.0	80.9086233796	0.639495756508	18	6.0	boats
18	0.0	-4.54896061266	0	11.8383879103	1.66666666667	7.62266401576	0.266666666667	0.363636363636	0.235625127207	0.178387407628	0.0	1.0	0.0	0.348837209302	1.0	0.0	0.857142857143	2.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	1.0	0.0	0.0	3	0	0.0	0.0	1.0	0.5	1.0	1.0	0.0	1.0	1.0	0.0	35.515163731	0.302272812395	5	2.0	boats
18	0.0	-0.623527148273	0	13.8918525935	1.5	1.36967700999	0.19696969697	0.5	0.0673773094918	0.872568763279	0.0	2.0	0.0	0.651576576577	0.833333333333	0.0	0.8	3.0	0.0	0.0	0.0	0.0	1.0	1.0	3.0	0.0	1.0	0.0	0.0	4	0	0.523610404784	0.0	2.0	2.0	0.925200962247	0.892990135896	0.166666666667	0.875695921285	1.0	0.0	55.5674103738	0.288498921741	6	3.0	boats
19	0.0	-13.0769895249	0	11.5519390358	2.14285714286	5.92419772427	0.666666666667	0.461538461538	0.128286073359	0.575062737755	1.0	2.0	0.4	0.853969279357	1.0	0.0	0.846153846154	4.0	1.0	0.609432605773	0.166666666667	0.883042858709	1.0	0.857142857143	5.0	0.0	1.0	0.0	0.0	7	0	0.0	0.0	0.0	0.0	0.419137585479	1.0	0.0	1.0	6.0	0.0	80.8635732508	0.62688383967	15	6.0	boats
19	0.142857142857	-0.399413261245	0	11.364878406	2.25	3.37451618822	0.545454545455	0.533333333333	0.305657250587	1.06536090597	0.0	1.2	0.333333333333	0.724439356886	1.0	0.166666666667	0.777777777778	5.0	0.0	0.691006282995	0.333333333333	0.732528041415	1.0	0.866666666667	5.0	0.388888888889	1.66666666667	0.2	0.6	8	0	0.390799778019	0.866666666667	4.57142857143	3.0	0.815458384732	0.970751601945	0.183333333333	0.927375060911	1.0	0.822580645161	90.9190272481	0.712997780337	18	6.0	boats
