id	cluster	index_z_score	intrusions	mean_frequency	mean_syllables	mr_freq	mr_ortho	mr_phon	mr_sem	ortho_alg_con	ortho_average_cluster_coeff	ortho_average_degree	ortho_cluster	ortho_coherence	ortho_diameter	ortho_max_betweenness	ortho_radius	ortho_switch	ortho_transitivity	phon_alg_con	phon_cluster	phon_coherence	phon_diameter	phon_radius	phon_switch	phono_average_cluster_coeff	phono_average_degree	phono_max_betweenness	phono_transitivity	raw	repetitions	sem_alg_con	sem_average_cluster_coeff	sem_average_degree	sem_cluster	sem_coherence	sem_diameter	sem_max_betweenness	sem_radius	sem_switch	sem_transitivity	sum_frequency	sum_recip_freq	sum_syllables	switch	task	visit
10	0.0	-5.35326660395	0	13.1968834441	2.875	11.1908397535	0.307692307692	0.545454545455	0.314308842945	2.03140415477	0.0	1.6	0.0	0.856244868891	0.846153846154	0.0	0.733333333333	7.0	0.0	0.633042238967	0.0	0.512322628827	1.0	0.846153846154	7.0	0.0	1.0	0.0	0.0	8	0	0.0	0.6	1.6	0.142857142857	0.337597260534	1.0	0.0	1.0	6.0	1.0	105.575067553	0.657178922667	23	7.0	a	y0
10	0.0	-9.91131246706	0	14.1422231806	2.11111111111	4.09038266287	0.457142857143	0.5	0.169405579787	2.250454227	0.0	1.0	0.0	0.573333581423	0.857142857143	0.0	0.777777777778	8.0	0.0	0.555706947558	0.125	0.437673803011	1.0	1.0	7.0	0.0	1.0	0.0	0.0	9	0	0.2224329592	0.333333333333	1.71428571429	1.25	1.08062990135	0.990626144654	0.133333333333	0.96164730362	3.0	0.5	127.280008625	0.64375105444	19	8.0	a	y1
11	0.555555555556	8.90252847936	0	14.2645398266	2.42857142857	7.92177667268	0.625	0.6	0.314308842945	3.18179757906	0.566666666667	2.0	0.75	0.816940223586	0.875	0.0555555555556	0.8	7.0	0.692307692308	1.72331057343	1.0	0.729895314133	1.0	0.857142857143	6.0	0.358974358974	2.46153846154	0.530303030303	0.51724137931	14	0	0.0	0.583333333333	3.16666666667	0.166666666667	0.318564294922	1.0	0.436363636364	1.0	11.0	0.396226415094	199.703557572	1.00178198115	34	8.0	a	y0
11	0.428571428571	-0.876931874936	0	15.8922343228	1.8	9.70209617395	0.657142857143	0.8	0.168356199884	2.31779730686	0.44	2.8	1.5	0.746109140737	0.857142857143	0.24537037037	0.75	3.0	0.585365853659	0.204084537311	0.428571428571	0.455804469377	1.0	1.0	6.0	0.675	3.25	0.0714285714286	0.846153846154	10	0	0.0	0.309523809524	1.71428571429	0.428571428571	0.649331812871	1.0	0.333333333333	1.0	6.0	0.375	158.922343228	0.651376607268	18	6.0	a	y1
12	0.5	-2.45749022206	0	15.1789881144	2.0	7.1973025257	0.466666666667	0.666666666667	0.314308842945	1.83064195241	0.0	1.6	0.5	0.78125	0.8	0.666666666667	0.6	3.0	0.0	0.520513441762	0.2	0.734015345269	1.0	0.777777777778	4.0	0.0	1.2	0.166666666667	0.0	6	0	0.0	0.0	1.0	0.2	0.790720555673	1.0	0.0	1.0	4.0	0.0	91.0739286866	0.406673414198	12	3.0	a	y0
12	0.0	0.140792904039	0	14.5604577572	2.0	10.2551711379	0.5	0.666666666667	0.314308842945	2.24026884394	0.0	1.14285714286	0.125	0.701798466014	0.833333333333	0.0666666666667	0.714285714286	7.0	0.0	1.08828677809	0.285714285714	0.517886178862	1.0	0.777777777778	6.0	0.291666666667	1.75	0.0952380952381	0.428571428571	9	0	0.0	0.6	1.6	0.0	0.114889665456	1.0	0.0	1.0	8.0	1.0	131.044119815	0.652568245036	18	8.0	a	y1
13	0.0	0.942833816495	0	12.699162387	2.14285714286	6.05735447666	0.5	0.5	0.0849827842769	1.67942021617	0.7	2.8	0.166666666667	0.60569259962	0.833333333333	0.5	0.666666666667	5.0	0.8	0.236383202935	0.0	0.422099947238	1.0	0.857142857143	6.0	0.0	1.2	0.166666666667	0.0	7	0	0.178717169767	0.0	1.0	0.166666666667	0.692998297561	0.989657220025	0.0	0.958603458227	5.0	0.0	88.8941367092	0.561108267948	15	6.0	a	y0
13	0.375	nan	0	14.4420225175	2.90909090909	5.55559381823	0.533333333333	0.533333333333	0.214533739026	2.51525834623	0.259259259259	1.77777777778	0.222222222222	0.726629363071	0.866666666667	0.25	0.75	8.0	0.333333333333	0.813915680221	0.222222222222	0.679161979922	1.0	0.857142857143	8.0	0.0	1.33333333333	0.142857142857	0.0	11	0	0.317458423648	0.512380952381	4.0	1.2	0.721673863232	0.98597081645	0.25	0.967774230086	4.0	0.615384615385	158.862247692	0.777090561187	32	7.0	a	y1
14	0.125	0.239246645567	0	15.1523817598	2.33333333333	5.73883167602	0.461538461538	0.6	0.306885295389	2.26711092493	0.0	1.2	0.285714285714	0.769603503008	0.846153846154	0.166666666667	0.733333333333	6.0	0.0	0.689032923055	0.285714285714	0.639046190578	1.0	1.0	6.0	0.0	1.66666666667	0.6	0.0	9	0	0.0	0.766666666667	2.8	0.5	0.794505851108	1.0	0.333333333333	1.0	5.0	0.642857142857	136.371435838	0.603517923093	21	7.0	a	y0
14	0.333333333333	-1.58802486229	0	13.264751345	2.5	2.80576116824	0.318681318681	0.19696969697	0.298326425397	0.808420753267	0.0	1.0	0.0	0.94298245614	0.857142857143	0.0	0.692307692308	3.0	0.0	0.735830981403	0.0	1.0	0.833333333333	0.777777777778	3.0	0.0	1.0	0.0	0.0	4	0	0.0816650703863	0.0	1.0	0.333333333333	0.978894505737	0.984017582452	0.0	0.975547769465	2.0	0.0	53.0590053801	0.304625133645	10	2.0	a	y1
