id	cluster	index_z_score	intrusions	mean_frequency	mean_syllables	mr_freq	mr_ortho	mr_phon	mr_sem	ortho_alg_con	ortho_average_cluster_coeff	ortho_average_degree	ortho_cluster	ortho_coherence	ortho_diameter	ortho_max_betweenness	ortho_radius	ortho_switch	ortho_transitivity	phon_alg_con	phon_cluster	phon_coherence	phon_diameter	phon_radius	phon_switch	phono_average_cluster_coeff	phono_average_degree	phono_max_betweenness	phono_transitivity	raw	repetitions	sem_alg_con	sem_average_cluster_coeff	sem_average_degree	sem_cluster	sem_coherence	sem_diameter	sem_max_betweenness	sem_radius	sem_switch	sem_transitivity	sum_frequency	sum_recip_freq	sum_syllables	switch	task	visit
47	0.0	-2.46044372688	0	12.3850399959	2.42857142857	13.0344463169	0.346153846154	0.6	0.440406807291	1.67599264563	0.0	1.33333333333	0.4	0.718742156643	0.846153846154	0.2	0.733333333333	4.0	0.0	0.876508796863	0.0	0.563305313763	1.0	0.8	6.0	0.0	1.0	0.0	0.0	7	0	0.0	0.9	4.33333333333	1.33333333333	0.775873563695	1.0	0.0666666666667	1.0	2.0	0.866666666667	86.6952799711	0.782651625383	17	6.0	vehicles	y0
48	0.0	-4.20086107271	0	14.3324160274	1.72727272727	4.14666765895	0.545454545455	0.6	0.375657842017	1.18136702217	0.0	2.0	0.444444444444	0.696873400741	1.0	0.714285714286	0.833333333333	8.0	0.0	0.811292015663	0.222222222222	0.661562082511	1.0	1.0	8.0	0.0	1.5	0.333333333333	0.0	11	0	1.1384479624	0.814920634921	6.2	2.66666666667	0.817485215404	0.935251034726	0.143055555556	0.842608695939	2.0	0.741573033708	157.656576301	0.774356456868	19	10.0	vehicles	y0
49	0.0714285714286	0.0440874011843	0	12.4283814808	1.73333333333	8.92656028736	0.8	0.666666666667	0.440406807291	2.12215243257	0.211904761905	2.71428571429	0.545454545455	0.612214511551	1.0	0.57905982906	0.833333333333	10.0	0.403846153846	1.87594178717	0.25	0.585529613082	1.0	0.833333333333	11.0	0.324444444444	2.4	0.247252747253	0.477272727273	15	0	0.0	0.639682539683	4.33333333333	0.777777777778	0.727420843453	1.0	0.227272727273	1.0	8.0	0.605504587156	186.425722212	1.26519276046	26	13.0	vehicles	y0
4	0.2	-4.61838092258	0	11.9675588604	2.0	7.68520113708	0.625	0.615384615385	0.391703943904	1.5335541903	0.324242424242	2.36363636364	0.2	0.653454925854	1.0	0.277777777778	0.777777777778	9.0	0.428571428571	0.489884669484	0.2	0.494295902262	1.0	1.0	9.0	0.185185185185	2.0	0.571428571429	0.272727272727	12	0	0.0	0.404761904762	2.57142857143	0.2	0.700265810745	1.0	0.366666666667	1.0	9.0	0.473684210526	143.610706324	1.05291560069	24	9.0	vehicles	y0
50	0.230769230769	9.7028309724	0	12.9862580783	1.875	6.49584433772	0.8	0.666666666667	0.380934378638	2.24920653896	0.43869047619	3.25	0.333333333333	0.518351235809	1.0	0.363492063492	0.833333333333	11.0	0.384615384615	0.976282361482	0.307692307692	0.572143790087	1.0	0.833333333333	12.0	0.259523809524	2.42857142857	0.352564102564	0.272727272727	16	0	1.43226995339	0.424702380952	4.0	0.777777777778	0.654993939102	0.96715471642	0.197006802721	0.88880943538	8.0	0.511111111111	207.780129252	1.26271318157	30	12.0	vehicles	y0
51	0.125	nan	0	12.3305902819	1.66666666667	6.57408866665	0.8	0.666666666667	0.454176207953	1.85232951539	0.329971988796	3.76470588235	0.384615384615	0.585168041518	1.0	0.280138888889	0.818181818182	12.0	0.414634146341	0.898039472074	0.384615384615	0.562985659187	1.0	0.866666666667	12.0	0.384672619048	3.875	0.223174603175	0.5	18	0	0.0	0.621088435374	5.71428571429	1.2	0.812820993551	1.0	0.297008547009	1.0	9.0	0.732283464567	221.950625075	1.48973678137	30	15.0	vehicles	y0
52	0.2	-6.60832330981	0	12.0374177907	2.16666666667	9.71520869507	0.8	0.666666666667	0.440406807291	1.13877522197	0.458008658009	3.27272727273	1.0	0.776951477748	1.0	0.446296296296	0.857142857143	5.0	0.388888888889	1.62808799525	1.4	0.794071801414	1.0	0.818181818182	4.0	0.430555555556	2.66666666667	0.727272727273	0.529411764706	12	0	0.0349348141787	0.79696969697	4.72727272727	1.0	0.641580232485	1.0	0.355555555556	0.983045182112	5.0	0.736842105263	144.449013489	1.07454296182	26	9.0	vehicles	y0
53	0.0	6.38375254236	0	11.0897336944	2.30769230769	13.1308529147	0.8	0.666666666667	0.440406807291	2.40533301875	0.336111111111	2.66666666667	1.28571428571	0.783402075819	1.0	0.418181818182	0.833333333333	6.0	0.264705882353	1.81968822518	1.0	0.664912804068	1.0	0.818181818182	6.0	0.312820512821	2.61538461538	0.515151515152	0.214285714286	13	0	0.0	0.673333333333	3.8	0.857142857143	0.780582215357	1.0	0.386574074074	1.0	6.0	0.571428571429	144.166538028	1.44144830727	30	12.0	vehicles	y0
54	0.117647058824	15.2653949212	0	11.1735616285	2.21052631579	11.5900970352	0.8	0.769230769231	0.429009028384	3.12349313014	0.399470899471	3.55555555556	0.538461538462	0.696642927203	1.0	0.272549019608	0.846153846154	12.0	0.342105263158	1.21067004856	0.357142857143	0.667915084519	1.0	0.882352941176	13.0	0.490476190476	3.05882352941	0.445833333333	0.355263157895	19	0	0.0	0.545630411255	5.0	1.22222222222	0.672545458281	1.0	0.268650793651	1.0	8.0	0.557522123894	212.297670941	1.96789708068	42	16.0	vehicles	y0
55	0.0833333333333	2.4131393627	0	12.4991380434	1.61538461538	8.18605584472	0.625	0.615384615385	0.424197690059	1.9139303553	0.224242424242	2.54545454545	0.181818181818	0.604099487182	1.0	0.455555555556	0.846153846154	10.0	0.310344827586	0.86070914795	0.0833333333333	0.527627182828	1.0	1.0	11.0	0.203703703704	2.0	0.321428571429	0.4	13	0	0.827031177533	0.455555555556	3.0	0.6	0.674926078903	0.983790882767	0.327272727273	0.9254926921	9.0	0.622641509434	162.488794564	1.0846878321	21	11.0	vehicles	y0
